API_id,cosolvent_id,surfactant_id,oil_id1,API_prop,cosolvent_prop,surfactant_prop,oil_prop1,size,PDI,API_logp,API_sol,API_polar,o_LC,o_sat,s_HLB,c_viscosity
CCC(C)(C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,CCO,CCCCCCCC/C=C/CCCCCCCC(OCCOCC(OCCO)C1C(OCCO)CC(OCCO)O1)=O,CCCCCCCC/C=C\CCCCCCCC(=O)O.C(C(CO)O)O,0.010,0.446,0.446,0.099,-0.41312906709222,0.272,4.46,0.0122,117.68,1,0,15,1.1
CCC(C)(C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,CCO,CCCCCCCC/C=C/CCCCCCCC(OCCOCC(OCCO)C1C(OCCO)CC(OCCO)O1)=O,CCCCCCCC/C=C\CCCCCCCC(=O)O.C(C(CO)O)O,0.010,0.396,0.396,0.198,-0.21969761466757,0.298,4.46,0.0122,117.68,1,0,15,1.1
CCC(C)(C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,CCO,CCCCCCCC/C=C/CCCCCCCC(OCCOCC(OCCO)C1C(OCCO)CC(OCCO)O1)=O,CCCCCCCC/C=C\CCCCCCCC(=O)O.C(C(CO)O)O,0.010,0.347,0.347,0.297,-0.307746562129701,0.283,4.46,0.0122,117.68,1,0,15,1.1
CCC(C)(C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,CCO,CCCCCCCC/C=C/CCCCCCCC(OCCOCC(OCCO)C1C(OCCO)CC(OCCO)O1)=O,CCCCCCCC/C=C\CCCCCCCC(=O)O.C(C(CO)O)O,0.010,0.594,0.297,0.099,-0.433984582491094,0.265,4.46,0.0122,117.68,1,0,15,1.1
CCC(C)(C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,CCO,CCCCCCCC/C=C/CCCCCCCC(OCCOCC(OCCO)C1C(OCCO)CC(OCCO)O1)=O,CCCCCCCC/C=C\CCCCCCCC(=O)O.C(C(CO)O)O,0.010,0.528,0.264,0.198,-0.212239350882543,0.298,4.46,0.0122,117.68,1,0,15,1.1
CCC(C)(C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,CCO,CCCCCCCC/C=C/CCCCCCCC(OCCOCC(OCCO)C1C(OCCO)CC(OCCO)O1)=O,CCCCCCCC/C=C\CCCCCCCC(=O)O.C(C(CO)O)O,0.010,0.462,0.231,0.297,-0.185444847654851,0.305,4.46,0.0122,117.68,1,0,15,1.1
CCC(C)(C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,CCO,CCCCCCCC/C=C/CCCCCCCC(OCCOCC(OCCO)C1C(OCCO)CC(OCCO)O1)=O,CCCCCCCC/C=C\CCCCCCCC(=O)O.C(C(CO)O)O,0.010,0.297,0.594,0.099,-0.282126044868171,0.287,4.46,0.0122,117.68,1,0,15,1.1
CCC(C)(C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,CCO,CCCCCCCC/C=C/CCCCCCCC(OCCOCC(OCCO)C1C(OCCO)CC(OCCO)O1)=O,CCCCCCCC/C=C\CCCCCCCC(=O)O.C(C(CO)O)O,0.010,0.231,0.462,0.297,-0.188552457565279,0.299,4.46,0.0122,117.68,1,0,15,1.1
CCC(C)(C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,,CCCCCCC(CCCCCCCCCC(=O)[O-])C(=O)OCC(CO)O,CCCCCCCC/C=C\CCCCCCCC(=O)O.C(C(CO)O)O,0.050,0.000,0.428,0.095,-0.655867930095663,0.112,4.46,0.0122,117.68,1,0,14.5,0
CCC(C)(C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,,CCCCCCC(CCCCCCCCCC(=O)[O-])C(=O)OCC(CO)O,CCCCCCCC/C=C\CCCCCCCC(=O)O.C(C(CO)O)O,0.050,0.000,0.570,0.095,-0.653934306151397,0.09,4.46,0.0122,117.68,1,0,14.3,0
